,,,,,,,,,,,,,,,,,,,,,
Start,Start Country,Start Lat,Start Long,End,End Country,End Lat,End Long,Year, Price , lower bound , upper bound ,CCY, USD equiv , USD equiv avg ,1 person?,Nationality of Migrant,Nationality of Smuggler,Service,Via,Source,Comment
Hargeisa,Somaliland,,,Addis Ababa,Ethiopia,,,2013,,  250 ,  500 ,USD, 250-500 ,  375 ,TRUE,Somali,,Overland (multiple modes),,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Hargeisa to Wachalah (Somaliland) by car, then across to Jijiga (Eth) by foot or car, then to Addis by car."
Al Qatrun,Libya,,,Agadez,Niger,,,2005,"  100,000 ",,,XOF,  186 ,  186 ,TRUE,,,Truck,,http://www.nolager.de/blog/node/286/,In F. Gatti's book
Biasa,Nigeria,,,Agadez,Niger,,,2011,"  1,800 ",,,USD,"  1,800 ","  1,800 ",TRUE,Nigerian,,Overland,,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Nigerian man
Delta State,Nigeria,,,Agadez,Niger,,,2015,  117 ,,,EUR,  156 ,  156 ,TRUE,Nigerian,,Unknown,,"BBC News, 23 April 2015, http://www.bbc.com/news/world-europe-32421238",First stage of journey: Delta State (Nigeria)-->Agadez-->Tripoli-->Italy
Dirkou,Niger,,,Agadez,Niger,,,2011,  300 ,,,USD,  300 ,  300 ,TRUE,,,Unknown,,http://english.cntv.cn/program/newsupdate/20110819/106365.shtml,Fleeing violence in Libya
Niamey,Niger,,,Agadez,Niger,,,2014,"  17,000 ",,,XOF,  35 ,  35 ,TRUE,,,Bus,,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140515,
Niamey,Niger,,,Agadez,Niger,,,2014,"  17,000 ",,,XOF,  35 ,  35 ,TRUE,,,Bus,,"Reuters, 15 May 2014, http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140515",
Niamey,Niger,,,Agadez,Niger,,,2014,  36 ,,,USD,  36 ,  36 ,TRUE,Ghanaian,,Bus,,"Business Insider, 15 May 2014, http://www.businessinsider.com/r-special-report-despite-deaths-crackdown-sahara-migrant-trail-thrives-2014-15?IR=T",
Niamey,Niger,,,Agadez,Niger,,,2003,"  11,250 ",,,XOF,  21 ,  21 ,TRUE,Senegalese,,Bus,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Niamey,Niger,,,Agadez,Niger,,,2005,  18 ,,,USD,  18 ,  18 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Sabha,Libya,,,Agadez,Niger,,,2004,  61 ,,,EUR,  72 ,  72 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Bamako,Mali,,,Agadez,Niger,,,2007,"  80,000 ",,,XOF,  170 ,  170 ,TRUE,,,Bus,,"Emmanuel Mayah, 2010, http://www.nigeriavillagesquare.com/articles/guest-articles/europe-by-desert-tears-of-african-migrants.html",
Senegal,Senegal,,,Agadez,Niger,,,2012,"  10,000 ",,,XOF,  19 ,  19 ,TRUE,Senegalese,,Overland,,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Senegalese man
Khartoum,Sudan,,,Ajdabiya,Libya,,,2011,,  500 ,  600 ,USD, 500-600 ,  550 ,TRUE,,,Overland,,"Peter Seeberg et al, 2013, https://books.google.ch/books?hl=en&lr=&id=mXwhAQAAQBAJ&oi=fnd&pg=PA137&dq=%22migrant+smuggling%22&ots=OzyMLffFoB&sig=wzHnHeGO7ikW6QnJBTT599tgdAg#v=onepage&q=%22migrant%20smuggling%22&f=false",
Kufrah,Libya,,,Ajdabiya,Libya,,,2013,  700 ,,,LYD,  560 ,  560 ,TRUE,Sudanese,,Overland,,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Sudanese man
Agadez,Niger,,,Al Qatrun,Libya,,,2004,"  40,000 ",,,XOF,  75 ,  75 ,TRUE,,,Truck,,http://www.nolager.de/blog/node/286/,In F. Gatti's book
Agadez,Niger,,,Al Qatrun,Libya,,,2013,"  115,000 ",,,XOF,  230 ,  230 ,TRUE,,,Truck,,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140518,
Agadez,Niger,,,Al Qatrun,Libya,,,2014,"  150,000 ",,,XOF,  310 ,  310 ,TRUE,,,Truck,,http://www.reuters.com/article/2014/05/15/us-europe-immigration-niger-specialrepor-idUSBREA4E08W20140517,
Agadez,Niger,,,Al Qatrun,Libya,,,2014,  260 ,,,USD,  260 ,  260 ,TRUE,,,Overland,,"Business Insider, 15 May 2014, http://www.businessinsider.com/r-special-report-despite-deaths-crackdown-sahara-migrant-trail-thrives-2014-15?IR=T",
Agadez,Niger,,,Al Qatrun,Libya,,,2013,  190 ,,,USD,  190 ,  190 ,TRUE,,,Overland,,"Business Insider, 15 May 2014, http://www.businessinsider.com/r-special-report-despite-deaths-crackdown-sahara-migrant-trail-thrives-2014-15?IR=T",
Athens,Greece,,,Albania,Albania,,,2014,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,Eritrean,,Foot,,"Glen Johnson, 24 May 2015, http://www.smh.com.au/world/the-balkan-connection-smugglers-build-bridge-of-bribes-to-western-europe-20150524-gh6vit.html",Cost for one Eritrean woman from Athens to Albania
Athens,Greece,,,Albania,Albania,,,2015,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,Eritrean,,Foot,,"The National (UAE), 22 April 2015, http://www.thenational.ae/world/migrants-exploited-every-step-of-the-way-on-balkans-route-to-europe#full",Price for an Eritrean woman
Turkey,Turkey,,,Alexandria,Egypt,,,2014,  500 ,,,EUR,  670 ,  670 ,FALSE,Syrian,,Unknown,,"Q Code Magazine, 10 March 2015, http://www.qcodemag.it/2015/03/10/corridoio-nord-la-nuova-rotta-dei-migranti/",Family of 4
El Aaiun,Western Sahara,,,Algeciras,Spain,,,2006,"  5,000 ",,,EUR,"  6,250 ","  6,250 ",TRUE,,,Boat,,"Ali Bensaad, Le Maghreb à l'épreuve des migrations subsahariennes, 2009",
Tangier,Morocco,,,Algeciras,Spain,,,2006,"  5,500 ",,,EUR,"  6,880 ","  6,880 ",TRUE,,,Boat,,"Serge Daniel, Les Routes Clandestines, 2008",
Gao,Mali,,,Algeria,Algeria,,,2015,  400 ,,,USD,  400 ,  400 ,TRUE,,,Truck,,"BBC Africa, 21 April 2015, http://www.bbc.com/portuguese/noticias/2015/04/150421_migrantes_africa_lab",
Gao,Mali,,,Algeria,Algeria,,,2014,,  25 ,  50 ,EUR, 33-67 ,  50 ,TRUE,,,Truck,,http://elpais.com/elpais/2014/01/20/inenglish/1390216292_994607.html,
Lomé,Togo,,,Algeria,Algeria,,,2006,"  500,000 ",,,XOF,  970 ,  970 ,TRUE,Togolese,,Bus,,"Serge Daniel, Les Routes Clandestines, 2008",
Mali,Mali,,,Algeria,Algeria,,,2013,  600 ,,,EUR,  800 ,  800 ,TRUE,,,Truck,,"IPPR, June 2013, http://www.ippr.org/assets/media/images/media/files/publication/2013/07/myth-of-transit-morocco-ENG_June2013_11051.pdf?noredirect=1",
Agadez,Niger,,,Algeria,Algeria,,,2009,,"  80,000 ","  150,000 ",XOF, 160-300 ,  230 ,TRUE,,,Overland,,"Jocelyne Streiff-Fenart, 2012, https://books.google.fr/books?id=Cg-Z9ZXPwiEC&pg=PA77&lpg=PA77&dq=migrant+paid+dollars+agadez&source=bl&ots=z2p96nlqTS&sig=qz-TZaVlg70ixMfPSlyNY51F1iI&hl=en&sa=X&ei=PYuQU9zgNcua1AWT2YGwAg#v=onepage&q=migrant%20paid%20dollars%20agadez&f=false",
Niger,Niger,,,Algeria,Algeria,,,2015,"  1,100 ",,,EUR,"  1,220 ","  1,220 ",TRUE,Nigerian,,Overland,,"Avvenire, 30 January 2015, http://www.avvenire.it/Cronaca/Pagine/Algeria-il-crocevia-dei-migranti-.aspx","Price for Nigerians coming from Zinder, Arlit, and Agadez to Algeria"
Mali,Mali,,,Algeria,Algeria,,,2008,  300 ,,,EUR,  480 ,  480 ,TRUE,Burkinabé,,Truck,,"Alexis Clotaire Némoiby Bassolé, L'agir clandestin, 2014",
Morocco,Morocco,,,Almeria,Spain,,,2011,,  500 ,"  1,000 ",EUR, 710-1420 ,"  1,065 ",TRUE,,,Boat,,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Motorboat
Agadez,Niger,,,Al Qatrun,Libya,,,2005,  127 ,,,USD,  127 ,  127 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Dirkou,Niger,,,Al Qatrun,Libya,,,2004,,  54 ,  72 ,USD, 54-72 ,  63 ,TRUE,,,Truck,,"Autrepart, 2005, http://www.cairn.info/revue-autrepart-2005-4-page-43.htm",
Dirkou,Niger,,,Al Qatrun,Libya,,,2008,"  60,000 ",,,XOF,  140 ,  140 ,TRUE,Nigerian,,Overland,,"ICMPD, 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2010/Libya_Survey_Report_electronic_version_edited.pdf",Price for Nigerians
Dirkou,Niger,,,Al Qatrun,Libya,,,2004,,  54 ,  72 ,USD, 54-72 ,  63 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Dirkou,Niger,,,Al Qatrun,Libya,,,2005,,  54 ,  91 ,USD, 54-91 ,  73 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Arlit,Niger,,,Assamakka,Niger,,,2005,  5 ,,,USD,  5 ,  5 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Arlit,Niger,,,Assamakka,Niger,,,2005,  9 ,,,USD,  9 ,  9 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
In-Gall,Niger,,,Assamakka,Niger,,,2005,,  9 ,  13 ,USD, 9-13 ,  11 ,TRUE,,,Truck,,"Julien Brachet, 2007, https://hal.archives-ouvertes.fr/tel-00339059v2/document",
Afghanistan,Afghanistan,,,Athens,Greece,,,2010,"  10,000 ",,,EUR,"  12,350 ","  12,350 ",TRUE,Afghan,,Unknown,,"Paolo Martino, December 2010, http://www.balcanicaucaso.org/eng/Feature-stories/Mussa-Khan/Articles/Mussa-Khan-A-meeting-with-the-devil-79845","Price for Afghans, all-inclusive from Afghanistan to Athens"
Gaziantep,Turkey,,,Athens,Greece,,,2010,"  4,000 ",,,USD,"  4,000 ","  4,000 ",TRUE,Afghan,,Unknown,,"Paolo Martino, December 2010, http://www.balcanicaucaso.org/eng/Regions-and-countries/Turkey/Mussa-Khan.-The-Jirga-of-Gaziantep-80165",Price per person for Afghans
Greece-Turkey Border,Greece,,,Athens,Greece,,,2006,,  800 ,"  1,200 ",USD, 800-1200 ,"  1,000 ",TRUE,,,Overland,,"Antonopolous and Winterdyk, 2006, http://tees.openrepository.com/tees/bitstream/10149/58466/5/58466.pdf",
Istanbul,Turkey,,,Australia,Australia,,,2015,"  15,000 ",,,EUR,"  16,670 ","  16,670 ",TRUE,,,Plane,,https://www.facebook.com/europe.travel.from.turkey/timeline,Human smugglers ad on facebook 01/19/15
Albania,Albania,,,Austria,Austria,,,2010,,"  3,000 ","  4,500 ",EUR, 3750-5630 ,"  4,690 ",TRUE,,,Unknown,"Kosovo, Serbia, Hungary","ICMPD Yearbook 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2014/ICMPD_Yearbook2010_A5_final.pdf","Via Kosovo, Serbia, and Hungary"
Czech Republic,Czech Republic,,,Austria,Austria,,,2007,,"  1,000 ","  1,500 ",EUR, 1330-2000 ,"  1,665 ",TRUE,,,Overland,,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",
Hungary,Hungary,,,Austria,Austria,,,2015,"  1,500 ",,,EUR,"  1,670 ","  1,670 ",TRUE,,,Truck,,"Taz.de, 8 July 2015, http://www.taz.de/!5210261/",
Kosovo,Kosovo,,,Austria,Austria,,,2007,"  2,000 ",,,EUR,"  2,670 ","  2,670 ",TRUE,,,Overland,Hungary,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Via Hungary
Kosovo,Kosovo,,,Austria,Austria,,,2000,,"  1,250 ","  2,500 ",EUR, 1500-3000 ,"  2,250 ",TRUE,,,Overland,,"Ilse van Liempt, Navigating Borders, 2007",
Slovakia,Slovakia,,,Austria,Austria,,,2010,,  350 ,  500 ,EUR, 440-630 ,  535 ,TRUE,,,Overland,,"ICMPD Yearbook 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2014/ICMPD_Yearbook2010_A5_final.pdf",
